district_type,nbr_floors,units,hospital,bld_age,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,floor*age,Aver_trans,Aver_food,Aver_school,Aver_shop,price_sqm
3,27,497,2.3,2,1,1,1,1,1,0,1,1,0,0,0,0,54,1.2998,0.185,1.01,1.5,154815
3,8,69,0.46,11,1,1,1,1,0,0,0,0,0,1,0,1,88,3.24,0.3,0.682,0.608,61275
3,37,390,1.4,10,1,1,1,1,1,0,0,1,0,0,0,1,370,2.02,0.1675,0.986,0.722,114025
3,8,451,1.1,4,1,1,1,1,1,0,1,1,0,1,0,1,32,4,0.7475,1.086,1.0646,405025
2,26,546,2,4,1,1,1,1,1,1,1,1,0,1,1,0,104,5.258,3.2,1.368,3.3,90000
2,8,768,1.9,24,1,1,1,1,0,0,0,0,1,1,1,0,192,7.24,1.3875,1.034,1.78,13109
2,7,568,0.99,24,1,1,1,1,1,0,0,0,0,1,0,1,168,6.7,0.533,0.912,1.796,21094
2,32,747,9,4,1,1,1,1,1,0,0,0,0,0,0,0,128,4.26,0.5775,0.846,4.78,74321
2,8,471,0.46,7,1,1,1,1,1,0,1,1,1,1,0,1,56,6.28,0.703,1.086,1.784,56786
2,23,834,1.8,5,1,1,1,1,1,0,1,1,0,1,0,0,115,5.108,3.05,1.212,3.18,90693
2,21,441,1.4,4,1,1,1,1,1,0,1,1,0,0,0,0,84,4.468,2.9475,0.774,2.4,98792
2,32,1004,1.5,3,1,1,1,1,1,0,1,1,0,0,0,0,96,4.816,0.61225,1.006,2.96,96848
3,14,2177,1.2,9,1,1,1,1,1,0,1,1,1,0,0,0,126,0.98,0.6125,0.916,1.8178,74752
3,14,439,1.1,9,1,1,1,1,1,0,1,1,1,0,0,0,126,0.898,0.5575,1.03,1.3238,88515
3,7,290,2,13,1,1,1,1,1,1,1,1,0,0,0,1,91,1.5,0.61,0.882,2.98,103571
3,8,70,1.5,11,1,1,1,1,1,0,1,1,0,1,1,1,88,1.976,0.485,0.84,1.226,48077
3,26,920,1.9,6,1,1,1,1,1,1,1,1,1,1,0,1,156,1.42,0.42,0.656,3.06,93594
3,26,270,0.44,7,1,1,1,1,1,1,1,0,0,0,0,1,182,1.588,0.1525,1.042,1.96,118713
3,8,292,1.5,12,1,1,1,1,1,0,1,0,0,0,0,0,96,1.904,0.445,0.772,1.17,59833
3,8,150,1.2,11,1,1,1,1,1,1,1,1,0,0,0,1,88,1.946,0.6025,1.146,1.48,81719
3,5,158,1.4,22,0,1,1,1,0,0,0,0,0,0,0,0,110,1.732,0.1945,0.74,1.018,52032
3,8,290,0.51,6,1,1,1,1,1,0,1,1,0,0,0,1,48,1.622,0.1855,1.074,2.02,90606
3,8,90,1.6,10,1,1,1,1,0,0,1,1,0,1,0,0,80,1.304,0.5595,0.624,1.78,80135
3,12,290,2.1,25,1,1,1,1,1,0,0,0,0,1,1,0,300,1.66,0.2795,0.592,0.784,40599
3,8,635,2.5,7,1,1,1,1,1,0,1,1,0,0,0,0,56,1.812,0.3585,0.532,0.692,86667
3,8,443,2.4,13,1,1,1,1,1,0,1,1,0,0,0,0,104,1.706,0.326,0.418,0.666,62488
3,8,77,0.63,8,1,1,1,1,1,0,1,1,0,0,0,0,64,1.666,0.2885,1.102,2.16,82667
3,8,386,1,7,1,1,1,1,1,0,1,1,0,0,0,0,56,1.858,0.4525,1.068,1.356,94333
3,8,124,1.6,8,1,1,1,1,1,0,1,0,0,0,0,0,64,1.334,0.6095,0.672,1.856,86154
3,9,104,2.5,21,1,1,1,1,0,0,0,0,0,0,0,1,189,1.842,0.425,0.796,0.744,26865
3,29,500,1,7,1,1,1,1,1,0,1,1,0,1,1,1,203,0.808,0.485,1.044,1.4498,84848
3,22,335,2,26,1,1,1,1,1,0,0,0,1,1,1,0,572,1.68,0.38425,0.66,0.806,38158
3,8,193,0.98,5,1,1,1,1,1,1,1,0,1,1,1,1,40,1.848,0.6975,1.218,1.68,86864
3,8,327,1.1,6,1,1,1,1,1,1,1,0,0,0,0,1,48,1.2,0.7,0.996,1.46,89479
3,16,203,1.9,9,1,1,1,1,1,1,1,1,0,0,0,0,144,1.634,0.276,0.4464,0.71,76289
1,5,90,5.3,15,1,1,1,1,0,0,0,0,0,0,0,0,75,7.56,0.7575,1.38,2.8,24681
1,9,257,2.7,17,1,1,1,1,0,0,0,0,0,1,0,0,153,8.22,1.385,1.152,3.1,11129
1,8,706,1.5,7,1,1,1,1,0,0,0,1,0,0,0,0,56,4.534,0.7675,1.46,0.886,56459
1,5,180,4.4,12,1,1,1,1,0,0,1,1,0,0,0,0,60,6.64,0.4075,1.536,2.7,42857
1,8,240,5.3,22,0,1,0,1,0,0,0,0,0,0,0,0,176,7.76,0.8025,1.94,2.94,29427
1,5,1000,1.3,11,1,1,1,1,1,1,1,1,1,1,1,0,55,0.74,0.59,0.692,0.58,52941
3,7,200,0.46,21,1,1,1,1,1,0,1,1,1,1,1,1,147,3.78,0.3375,0.566,1.172,99825
3,6,198,0.48,22,1,1,1,1,1,0,1,0,1,0,0,1,132,4.08,0.2325,0.424,1.282,92266
3,8,485,1.4,10,1,1,1,1,1,0,1,1,1,0,0,1,80,3.24,0.9675,1.406,3.68,58654
3,23,663,0.66,5,1,1,1,1,1,1,1,1,0,1,0,1,115,0.68,0.415,1.24,1.1458,124031
3,43,2024,0.91,4,1,1,1,1,1,0,1,1,1,0,0,0,172,1.102,0.273,1.54,1.0058,134375
3,8,188,1.2,5,1,1,1,1,1,0,1,1,0,0,0,0,40,2.76,0.281,1.03,2.24,78615
3,31,674,1.4,4,1,1,1,1,1,0,1,1,0,0,0,0,124,1.686,0.07675,0.812,0.934,146563
3,8,79,2.4,5,1,1,1,1,1,0,1,0,0,0,0,0,40,1.932,0.23925,1.082,0.72,108613
3,8,79,0.6,8,1,1,1,1,1,0,1,1,0,0,0,0,64,1.734,0.415,1.162,2.48,111111
3,8,73,0.59,6,1,1,1,1,1,0,1,0,0,0,0,0,48,1.73,0.405,1.16,2.48,94389
3,8,1414,2.5,12,1,1,1,1,1,0,1,1,1,1,0,1,96,1.988,0.3775,1.136,0.79,57895
3,17,176,2.9,14,1,1,1,1,1,0,1,0,0,0,0,0,238,3.46,1.85,1.68,2.28,50616
3,8,875,2.9,6,1,1,1,1,1,0,1,1,0,0,0,1,48,3.22,0.8275,1.424,1.86,57990
3,8,1304,1.1,11,1,1,1,1,1,0,1,0,0,1,0,1,88,2,0.70975,2.06,3.72,54924
3,31,436,2,9,1,1,1,1,1,0,1,1,0,1,0,0,279,1.756,0.28,0.838,0.692,100292
3,8,136,2.1,10,1,1,1,1,1,0,1,1,0,0,0,0,80,0.94,0.365,0.876,0.784,80000
3,8,79,0.82,10,1,1,1,1,1,1,1,1,1,0,0,1,80,1.84,0.425,0.494,2.92,74979
3,8,236,1.7,22,1,1,1,1,1,1,1,0,0,0,0,0,176,2.36,1.01,2.87,2.52,35000
3,8,725,4,13,1,1,1,1,1,0,1,0,0,1,1,1,104,3.08,0.625,1.178,1.9408,37990
3,7,236,2.2,23,1,1,1,1,0,0,0,0,0,1,0,0,161,1.754,0.2475,0.868,0.598,50733
3,8,630,0.88,9,1,1,1,1,1,0,1,0,0,0,0,0,72,1.9,0.58725,1.872,3.58,91212
3,8,128,0.85,8,1,1,1,1,1,1,1,0,1,1,0,1,64,2.72,0.5575,0.88,3.24,60876
3,8,500,1.5,10,1,1,1,1,1,1,1,1,0,0,0,0,80,3.02,0.21925,1.148,2.58,57835
3,8,134,0.46,8,1,1,1,1,1,0,1,1,0,0,0,0,64,2.44,0.515,0.98,3.04,71163
3,13,897,0.47,7,1,1,1,1,1,0,1,1,0,0,0,0,91,2.14,0.1855,2.064,4.06,97810
3,8,900,0.49,13,1,1,1,1,0,1,1,0,0,0,0,0,104,2.32,0.538,2.18,4.26,47596
3,8,474,1.4,14,1,1,1,1,0,0,0,0,0,1,0,0,112,1.758,0.595,1.314,1.74,61111
3,28,705,0.65,5,1,1,1,1,1,0,1,1,0,1,0,0,140,0.468,0.2475,1.152,0.9978,167391
3,19,398,1.7,9,1,1,1,1,1,0,1,1,1,1,0,1,171,1.6138,0.110025,0.72,0.806,111558
3,29,289,1.5,5,1,1,1,1,1,0,0,1,0,0,0,0,145,1.022,0.28,1.398,0.4778,175000
3,8,456,0.4,11,1,1,1,1,1,0,1,1,0,0,0,1,88,0.884,0.21,1.08,1.66,88571
3,16,160,4,26,1,1,1,1,0,0,0,0,0,0,0,0,416,2.82,0.6,0.982,0.9596,23585
3,13,216,2.6,11,1,1,1,1,1,0,1,0,0,0,1,0,143,2.56,0.4,1.122,1.66,53333
3,7,129,2.4,6,1,1,1,1,1,0,1,1,0,0,1,0,42,2.7,0.81,1.122,2.22,117880
3,22,483,1.6,10,1,1,1,1,1,1,1,1,1,1,1,1,220,1.5852,0.119275,0.694,0.782,113902
3,23,486,0.4,10,1,1,1,1,1,0,1,1,0,0,0,0,230,0.884,0.21,1.08,1.66,111080
3,34,1642,0.23,1,1,1,1,1,1,0,1,0,0,0,0,0,34,0.2926,0.10025,0.642,755.566,147766
3,24,1540,0.47,4,1,1,1,1,1,1,1,1,1,1,0,0,96,1.222,0.315,0.922,4.62,96667
3,8,1324,3.2,13,1,1,1,1,1,1,1,1,1,1,1,1,104,2.22,0.285,0.728,1.028,56667
3,8,75,2.4,12,1,1,1,1,1,0,0,0,0,0,0,0,96,1.86,0.029,0.652,1.4,60283
3,8,79,0.79,9,1,1,1,1,1,0,1,0,1,1,1,1,72,1.21,0.3605,1.604,1.0898,64286
3,35,335,0.65,25,1,1,1,1,1,0,1,1,0,1,1,1,875,1.7,0.3,1.24,1.62,87884
3,28,384,0.54,9,1,1,1,1,1,1,1,1,0,1,0,1,252,0.962,0.4275,0.806,2.74,106500
3,38,802,1.7,3,1,1,1,1,1,0,1,1,0,1,1,0,114,1.17,0.3375,1.524,0.5018,171271
3,42,755,1.7,3,1,1,1,1,1,0,1,1,0,1,0,0,126,1.15,0.3075,1.456,0.4738,165026
3,15,400,0.51,11,1,1,1,1,1,0,1,1,0,0,0,0,165,0.86,0.25775,1.4,1.2038,81181
3,8,75,1.6,10,1,1,1,1,0,0,1,0,0,0,0,0,80,2.7,0.4175,1.072,1.94,62822
3,25,729,0.72,6,1,1,1,1,1,0,1,1,0,0,0,1,150,1.74,0.295,1.236,1.58,134423
3,8,664,1.5,10,1,1,1,1,1,0,0,0,0,1,0,1,80,3.04,0.213,1.144,2.58,54401
3,8,412,0.78,21,1,1,1,1,1,0,1,0,0,0,0,0,168,1.74,0.4425,1.186,2.24,54663
3,8,583,4,22,1,1,1,1,1,0,0,0,1,1,0,0,176,3.12,0.6755,1.258,2.0408,31800
3,8,430,4,8,1,1,1,1,1,0,1,1,0,0,0,1,64,2.78,0.665,0.708,2.56,50000
3,37,881,1.3,8,1,1,1,1,1,1,1,1,1,1,0,0,296,1.518,0.6575,0.9218,2.14,127473
3,30,346,0.41,2,1,1,1,1,1,1,1,1,0,0,0,0,60,0.42,0.4,1.044,0.4956,167398
3,34,539,1.6,9,1,1,1,1,1,1,1,1,0,1,0,0,306,1.56,0.15775,0.692,0.688,132090
3,9,64,0.92,26,1,1,1,1,1,0,1,0,0,1,0,1,234,3.2,0.925,2.2,1.7,39409
3,44,660,0.55,4,1,1,1,1,1,1,1,1,0,1,1,1,176,2.38,0.4005,1.326,0.9822,88930
3,38,653,0.41,5,1,1,1,1,1,1,1,1,1,1,0,1,190,0.832,0.3725,0.76,380.074,151600
3,19,1002,3,5,1,1,1,1,1,1,1,1,1,1,1,0,95,2.56,0.735,1.7,1.2,90426
3,32,1900,0.59,5,1,1,1,1,1,1,1,1,0,1,1,1,160,1.44,0.24,1.646,3.38,96250
3,9,153,1.6,23,1,1,1,0,0,0,0,0,0,1,0,0,207,2.64,0.4475,1.072,1.86,98824
3,27,281,0.39,4,1,1,1,1,1,0,1,1,0,0,0,1,108,2.5,0.22775,1.44,0.8722,135417
3,8,190,2,8,1,1,1,1,1,0,1,0,0,0,0,0,64,1.936,0.152525,0.966,1.118,91556
3,9,277,4,12,1,1,1,1,1,0,1,0,0,0,0,1,108,2.56,0.5325,0.836,2.58,62238
3,8,189,1.9,11,1,1,1,1,1,0,1,0,0,0,0,0,88,3.4,1.025,1.266,3.02,60593
3,26,295,0.65,7,1,1,1,1,1,0,1,1,0,0,0,0,182,1.09,0.355,0.94,1.218,150943
3,8,117,2.4,11,1,1,1,1,0,0,1,0,0,1,0,1,88,2.66,0.3925,1.028,1.8,46939
